id,Username,League,TeamName,Logo,Epithat,TrainerTip,Season,Wins,Losses,KO,Dif,ELO,Points
1,Angel,Major,Buenos Muchachos,https://static.wikia.nocookie.net/dragonvale/images/e/e2/CountryDragonBaby.png/revision/latest/scale-to-width/360?cb=20211112165047,Famed Coach,Stop Momentum,2025,5,1,69,36,1096,100
2,Bryce,Major,Rillaboom Riders,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280w/products/128002/235234/SV106_hires__05748.1690284515.png,Grassy T. Enthusiast,Counter Hyper Offensive,2025,5,1,68,15,1098,100
3,Reed,Major,Atlanta Accelgors,https://static.wikia.nocookie.net/pokemon-opalo-por-ericlostie/images/4/43/617.png/revision/latest?cb=20220313124230&path-prefix=es,Previous Champion,Bring A-Game,2025,4,2,65,15,1170,100
4,Micah,Major,Last Minute,https://mario.wiki.gallery/images/thumb/5/5c/TT_DKRDS_artwork.jpg/1200px-TT_DKRDS_artwork.jpg,Current Champion,"Spore, Last Respects, Sand",2025,4,2,74,8,1126,100
5,Gabe,Major,Alolan Anarchist Commune,https://archives.bulbagarden.net/w/index.php?curid=183933,League Lancer,Counter Balance,2025,3,2,49,13,1102,100
6,Eunice,Major,stinkerton,https://pokemon.gishan.cc/static/i/pokemon/shiny-azurill.png,Trick Room Master,Plan for Trick Room,2025,2,4,42,-9,1047,100
7,Shelbie,Major,"no ifs, just BUTTS",https://static.wikia.nocookie.net/scissorseven/images/6/6f/Butt_Guy.JPG/revision/latest?cb=20200216153952,Wild Card,Build Efficenetly,2025,2,4,53,-13,982,100
8,Nora,Major,MikuNo$,https://i.scdn.co/image/ab6761610000e5ebba025c8f62612b2ca6bfa375,Random Battler,Build Efficenetly,2025,2,4,48,-13,969,100
